00000:Amendments	AmendTotal	Archive	Branch	Calculated Price	Client	Code	Contact	Current Date	Date Entered	Date Finished	Drawn?	export_flag	Price	Property Address	Property Area	Property Value	record_id	Status	Time
00001:			Baildon	15.5	Dacre Son & Hartley	d-dsh01	Alan Stevens	20.02.2010	27.05.2010	Not Completed	Mirek	no	15.5	65 Woodcot Avenue			12627633	Being Drawn	09:38:39
00002:			Baildon	15.5	Dacre Son & Hartley	d-dsh01	Alan Stevens	20.02.2010	12.05.2010	13.05.2010	Michael	no	15.5	28 Midland Road			12627376	Email Approved	13:52:09
00003:			Baildon	15.5	Dacre Son & Hartley	d-dsh01	Alan Stevens	20.02.2010	17.05.2010	19.05.2010	Michael	no	15.5	18 Sunhill Drive			12627459	Email Approved	16:06:53
00004:			Baildon	15.5	Dacre Son & Hartley	d-dsh01	Alan Stevens	20.02.2010	26.05.2010	27.05.2010	Michael	no	15.5	60 Somerset Avenue			12627622	Email Approved	14:35:45
00005:			Baildon	15.5	Dacre Son & Hartley	d-dsh01	Alan Stevens	20.02.2010	25.05.2010	25.05.2010	Mirek	no	15.5	62 Springfield Road			12627579	Email Approved	11:39:51
00006:			Baildon	15.5	Dacre Son & Hartley	d-dshBail(Let)	Alan Stevens	20.02.2010	27.05.2010	Not Completed	Mirek	no	15.5	17 Glen Rise			12627634	Being Drawn	09:39:12
00007:		7.5	Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	26.05.2010	26.05.2010	Bev	no		10 Ackland Hall (Archive)			12627613	Email Approved	12:14:35
00008:2	5.5		Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	26.05.2010	26.05.2010	Bev	no		10 Ackland Hall (Reformat)			12627614	Email Approved	12:14:46
00009:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	20.05.2010	21.05.2010	Dylan	no	15.5	38 Primrose Bank			12627520	Email Approved	16:08:00
00010:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	02.05.2010	11.05.2010	Michael	no	15.5	10 Stock Hill Close			12627211	Email Approved	08:46:17
00011:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	04.05.2010	05.05.2010	Michael	no	15.5	13 Moorland View			12627222	Email Approved	13:03:37
00012:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	04.05.2010	05.05.2010	Michael	no	15.5	4 Woodside View			12627223	Email Approved	13:05:01
00013:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	05.05.2010	07.05.2010	Michael	no	15.5	10 Beamsley Grove			12627247	Email Approved	13:41:13
00014:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	26.05.2010	27.05.2010	Mirek	no	15.5	3-5 Cullingworth Gate			12627610	Email Approved	10:58:52
00015:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Peter Leadbeater	20.02.2010	26.05.2010	27.05.2010	Mirek	no	15.5	4 Roundhill Mount			12627611	Email Approved	11:00:33
00016:		7.5	Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	24.05.2010	24.05.2010	Bev	no		33 Lysander Way (Archive)	4		12627566	Email Approved	14:32:21
00017:2	5.5		Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	24.05.2010	24.05.2010	Bev	no		33 Lysander Way (Amendment)	4		12627567	Email Approved	14:32:33
00018:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	11.05.2010	11.05.2010	Dylan	no	15.5	4 Britannia Wharf	0		12627338	Email Approved	10:22:37
00019:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	05.05.2010	06.05.2010	Michael	no	15.5	136 Gilstead Lane			12627237	Email Approved	13:18:41
00020:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	07.05.2010	10.05.2010	Michael	no	15.5	5 Cottage Side Apts			12627287	Email Approved	10:44:44
00021:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	12.05.2010	13.05.2010	Michael	no	15.5	1 Glen View Road			12627377	Email Approved	13:53:02
00022:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	12.05.2010	13.05.2010	Michael	no	15.5	51 Cavendish Drive			12627378	Email Approved	13:54:51
00023:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	17.05.2010	19.05.2010	Michael	no	15.5	5 Berwick Drive			12627454	Email Approved	14:00:47
